Symbol
CCIV
BB
AAPL
TLRY
F
NIO
BNR
GNZUF
DOW
DRVN
SRNE
BNDSF
SPY
AGG
QQQ
EFA
VXX
EEM
GLD
VWO
XLF
EWJ
AMECX
PTTAX
VFINX
AEPGX
